in-store,age,items,amount,region
0,37,4,281.03,2
0,35,2,219.51,2
1,45,3,1525.7,4
1,46,3,715.25,3
1,33,4,1937.5,1
0,24,3,1314.2,4
0,43,6,8.5472,2
1,66,5,819.98,3
1,51,5,908.31,1
1,47,3,767.54,1
1,44,5,122.39,3
1,33,2,684.32,1
0,32,2,58.997,2
1,48,7,529.57,3
1,34,6,270.49,4
0,43,7,1585.1,3
1,20,7,1901.3,1
1,43,4,165.48,3
0,35,2,2791.6,4
0,58,7,1225.8,4
0,37,7,1022.6,4
0,49,5,2524.4,3
1,55,4,267.18,1
1,31,6,901.7,1
1,53,2,283.5,4
1,21,5,113.65,4
0,42,5,114.49,2
1,40,5,1151.7,4
1,31,4,246.61,3
0,28,7,623.05,4
1,59,3,346.26,1
1,41,3,935.72,4
1,74,6,652.57,3
1,49,7,987.98,3
1,55,1,120.47,3
1,40,6,649.27,3
1,66,6,429.13,3
1,19,7,271.71,4
0,43,1,472.69,2
0,20,8,261.1,3
0,54,4,456.25,2
0,55,5,274.09,2
0,57,4,2289.2,3
0,44,1,861.21,3
1,30,4,856.26,4
1,46,3,754.08,4
0,27,6,592.34,3
1,20,2,906.9,4
0,57,3,505.34,4
1,51,5,901.74,4
0,30,6,1612.9,4
0,74,3,473.62,2
1,20,3,127.09,4
1,38,4,1825.3,4
0,44,7,245.28,2
1,26,1,1448.6,4
1,36,7,96.541,1
0,53,5,2952.8,4
1,22,2,1008.2,1
0,66,1,65.619,2
0,30,1,1046.9,4
0,39,7,221.3,2
1,27,4,961.23,1
0,38,1,336.44,2
0,69,4,213.62,2
0,81,4,324.98,2
1,26,4,200.27,1
0,65,2,204.67,2
0,35,2,168.86,2
1,61,7,240.27,3
1,44,4,1143.4,4
0,62,7,2591.3,3
1,51,2,1656.4,4
1,49,4,172.17,3
0,78,6,469.96,2
1,40,2,748.35,1
0,30,4,46.862,2
1,38,5,91.63,3
0,29,3,39.771,2
1,44,3,1123.5,4
0,47,3,13.577,2
1,41,1,1355.9,4
0,59,2,1299.2,4
1,42,7,698.67,3
1,26,4,803.38,1
1,28,2,1057,4
1,45,3,532.4,1
1,53,2,500.85,3
0,20,5,991.58,4
0,34,2,125.63,2
0,24,4,1875.2,4
1,53,2,917.28,1
1,44,2,1254.8,1
1,55,2,1288.1,1
1,67,7,136.97,1
0,58,4,165.28,2
1,19,7,1995,1
0,80,1,13.109,2
0,58,7,200.31,2
0,73,5,34.782,2
1,38,6,368.29,1
0,62,5,1606,4
1,67,5,59.912,1
1,31,4,1038,4
1,36,4,701.57,3
0,48,7,86.411,2
1,26,8,199.46,4
0,32,3,122.55,2
1,28,2,822.56,4
0,42,2,449.55,2
1,25,6,106.33,3
0,54,7,670.42,4
1,74,2,673.84,3
0,65,8,315.94,2
0,49,3,528.32,4
1,52,6,625.5,3
0,30,7,795.12,4
